age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
21,4,9,4,3,3,4,1,35,39,0
52,0,9,0,0,1,4,1,45,39,1
48,4,9,2,3,0,4,1,46,39,0
23,4,13,4,6,1,4,1,40,39,0
71,6,10,5,12,4,2,1,2,39,0
29,4,9,0,3,1,4,1,60,39,0
42,4,13,5,8,2,2,1,50,39,0
68,0,2,0,0,1,4,0,20,39,0
25,4,9,4,8,4,4,0,40,39,0
44,5,14,0,4,4,1,0,40,39,0
28,4,9,4,4,1,1,0,40,9,0
45,6,14,2,12,0,4,1,40,39,1
36,4,10,0,8,4,4,0,40,26,0
39,1,12,4,4,1,4,1,42,39,0
46,7,14,6,11,4,4,1,40,39,0
18,4,7,4,6,3,4,1,16,39,0
66,2,11,6,10,1,4,0,20,39,0
27,4,9,4,8,1,4,1,40,39,0
28,7,9,2,11,0,4,1,40,39,0
51,4,10,2,12,0,4,1,40,39,1
27,4,13,4,3,1,4,1,50,39,0
28,7,13,2,10,0,4,1,40,39,1
27,4,9,3,12,4,4,0,25,39,0
21,4,9,4,3,3,2,1,40,39,0
34,4,9,4,6,1,2,1,40,39,0
18,4,9,4,8,3,4,1,12,39,0
33,4,13,2,10,0,4,1,65,39,0
44,2,10,2,4,0,2,1,38,39,1
43,4,10,0,1,1,4,0,40,39,0
30,4,10,4,3,1,2,1,45,39,0
40,4,4,2,7,0,4,1,40,26,1
37,1,10,2,1,0,4,1,42,39,1
34,4,9,2,1,0,2,1,40,39,0
41,6,13,0,4,1,4,0,40,39,0
53,0,13,0,0,1,4,0,50,39,0
31,4,14,2,10,5,4,0,50,39,0
58,7,16,2,10,0,4,1,1,39,1
38,4,10,0,7,1,2,0,28,39,0
24,4,10,2,7,0,4,1,40,39,0
41,2,13,2,3,0,2,1,40,39,0
47,4,10,2,13,0,4,1,45,39,0
41,1,13,2,13,0,4,1,24,39,0
23,4,3,2,14,2,4,1,40,26,0
36,4,10,0,3,1,4,1,40,39,0
40,1,14,4,4,1,4,0,55,39,1
35,4,14,2,10,2,4,1,40,39,1
24,6,9,4,12,1,4,1,40,39,0
26,4,14,4,10,1,4,0,40,39,0
19,0,9,4,0,3,4,1,40,22,0
51,4,13,2,4,0,4,1,50,39,1
42,2,10,4,10,1,4,0,40,39,0
37,7,9,0,1,4,4,0,35,39,0
18,4,7,4,12,3,4,0,40,39,0
36,4,13,2,8,0,2,1,36,39,1
35,4,9,0,3,1,4,1,60,39,0
58,5,9,2,12,5,4,0,35,39,1
17,4,7,4,12,3,4,0,12,39,0
44,2,9,2,14,0,2,1,40,39,0
37,4,9,2,3,0,4,1,40,39,1
35,4,10,4,12,1,0,0,40,39,0
60,4,9,2,3,0,1,1,40,39,0
54,5,4,2,7,0,4,1,40,39,1
37,4,13,4,4,1,2,1,60,39,1
50,4,12,0,12,1,4,0,40,39,0
38,4,13,2,12,0,4,1,50,31,0
45,4,13,2,10,0,4,1,55,39,0
25,4,6,4,3,1,4,1,40,39,0
31,4,10,2,6,0,4,1,40,39,0
64,0,2,0,0,1,4,1,40,39,0
90,4,9,4,8,1,2,1,40,39,0
54,4,9,2,1,0,2,1,20,39,0
53,2,1,4,7,1,4,0,35,39,0
18,4,9,4,12,3,4,0,40,39,0
60,0,6,0,0,1,0,0,10,39,0
66,6,9,2,5,0,4,1,50,39,0
75,4,11,6,1,1,4,0,20,4,0
65,4,9,0,1,1,4,0,40,39,0
35,4,7,5,14,1,2,1,40,39,0
41,4,9,0,12,4,2,0,38,39,0
25,4,10,4,1,1,4,1,42,39,0
33,4,10,0,3,2,3,0,40,39,0
28,4,15,4,10,1,4,1,55,39,1
59,7,9,2,8,0,4,1,40,39,0
40,7,10,4,1,1,4,0,38,39,0
41,4,13,2,4,0,4,1,50,20,1
38,2,14,2,4,0,4,1,70,39,1
23,4,9,4,14,3,4,1,40,39,0
40,4,13,2,10,0,4,1,40,39,1
41,6,9,2,8,5,4,0,20,39,0
24,7,12,2,11,0,4,1,50,39,0
20,0,10,4,0,3,4,1,20,39,0
38,4,10,0,3,1,4,1,40,39,0
56,4,9,2,1,0,4,1,35,0,0
58,4,9,2,1,0,4,1,45,39,1
32,4,9,4,8,1,4,0,34,39,0
40,4,12,2,13,0,4,1,60,39,1
45,4,9,2,1,0,4,1,40,0,0
41,4,15,2,10,5,4,0,40,39,1
42,4,13,2,1,5,2,0,40,39,0
59,2,6,6,8,4,2,0,30,39,0
19,2,10,4,1,3,4,1,40,39,0
58,4,10,4,14,1,4,1,20,39,0
42,6,9,2,5,0,1,1,40,1,1
20,4,9,4,8,3,4,0,40,39,0
32,4,9,5,8,1,4,0,30,39,0
45,4,11,6,4,1,4,0,45,39,0
50,4,4,0,3,1,4,1,40,39,0
36,4,13,0,10,3,4,0,40,39,0
45,4,9,2,12,0,4,1,60,39,0
17,4,7,4,8,3,4,1,12,39,0
59,4,10,2,12,0,4,1,40,39,0
26,4,7,2,3,0,4,1,40,39,0
37,5,10,2,4,0,1,1,75,37,1
19,0,10,4,0,3,4,1,24,2,0
64,4,9,2,4,0,4,1,40,39,1
33,4,13,4,10,1,4,0,45,39,0
33,4,9,2,3,5,4,0,40,39,1
61,4,9,2,4,0,4,1,40,39,1
17,4,5,4,8,3,4,1,24,39,0
50,6,14,2,5,0,4,1,98,39,0
27,2,14,4,10,3,4,1,35,39,0
30,4,9,0,10,3,4,0,40,39,0
43,4,9,2,6,0,2,1,40,39,0
44,4,10,2,3,0,4,1,40,39,1
35,4,10,4,4,1,4,0,40,39,0
25,4,10,4,13,3,4,0,40,39,0
24,4,10,2,7,5,4,0,48,39,1
22,4,13,4,10,1,4,0,15,11,0
42,2,10,2,3,0,4,1,40,39,1
34,4,12,0,12,4,2,0,45,39,0
60,4,13,0,10,1,4,0,42,39,0
21,4,9,4,6,3,4,1,40,39,0
57,1,14,2,12,0,4,1,40,39,1
41,4,15,2,10,0,4,1,60,39,1
50,4,10,0,8,1,4,1,45,39,0
25,4,13,4,4,1,4,0,40,39,0
50,4,4,2,3,0,4,1,40,7,0
36,4,13,2,10,0,4,1,45,39,0
31,4,9,0,10,1,4,0,40,39,0
29,2,13,4,11,1,4,1,56,39,0
21,4,10,4,12,3,4,1,45,39,0
27,4,13,4,13,4,2,0,40,39,0
65,4,9,2,14,0,4,1,16,39,0
37,5,13,0,12,1,4,0,60,39,0
39,0,14,2,0,5,1,0,40,0,0
24,4,9,4,3,3,4,1,40,39,0
38,4,9,0,12,1,4,1,80,39,0
48,4,13,2,1,0,4,1,40,39,1
21,4,10,4,8,1,1,0,25,39,0
31,4,9,2,14,0,4,1,45,39,1
55,4,9,2,12,0,4,1,40,39,1
24,4,10,2,1,5,1,0,40,25,0
43,4,9,0,1,1,4,0,40,39,0
26,4,12,4,13,1,4,1,45,39,0
46,4,12,4,10,1,4,0,33,39,0
35,4,12,2,1,0,4,1,40,39,1
41,5,10,2,5,0,4,1,54,39,1
26,4,13,4,12,1,4,1,40,39,0
34,4,14,2,4,0,1,1,35,36,1
19,0,10,4,0,3,2,0,25,39,0
36,6,13,0,10,1,2,0,40,39,1
22,4,10,4,12,3,4,1,15,39,0
24,4,10,4,7,1,4,1,40,39,0
77,6,10,2,12,0,4,1,40,39,0
22,4,3,2,7,2,4,0,40,26,0
29,4,10,4,13,1,4,0,40,39,0
62,4,9,6,8,1,4,0,24,39,0
39,6,9,2,4,0,4,1,40,39,0
43,4,10,2,3,0,4,1,50,39,0
35,4,9,0,14,1,4,1,45,39,0
29,4,7,4,4,1,4,0,40,39,0
76,6,14,2,3,0,4,1,10,39,0
63,6,9,2,5,0,4,1,45,39,0
23,0,11,4,0,3,2,0,15,39,0
43,4,10,2,10,5,4,0,50,39,1
58,6,9,2,6,0,4,1,40,39,0
66,4,9,4,14,1,4,1,55,39,0
41,4,10,4,3,1,2,1,45,39,0
26,4,13,4,1,1,4,1,40,39,0
47,4,11,4,8,1,4,1,40,39,0
55,2,6,2,1,0,4,1,40,39,0
53,4,9,2,14,0,4,1,40,39,0
17,4,3,4,8,2,4,1,48,26,0
30,4,9,4,3,2,4,1,40,39,0
49,4,14,4,10,1,4,1,60,39,0
19,4,9,4,12,4,2,1,30,14,0
45,4,9,2,8,0,2,1,40,39,0
26,4,12,4,12,1,4,1,40,39,0
38,4,11,2,3,0,4,1,40,39,1
36,7,9,2,11,0,4,1,40,39,1
33,4,9,4,5,1,4,1,20,39,0
22,7,10,4,11,3,2,0,40,39,0
43,6,13,4,12,1,4,1,42,39,0
67,0,7,2,0,0,4,1,8,39,0
30,0,11,0,0,4,4,0,40,39,0
56,4,12,3,8,1,4,1,25,20,0
31,4,13,4,10,3,4,1,25,39,0
33,4,13,2,4,0,4,1,40,39,1
26,4,9,2,8,0,4,1,40,39,0
33,4,13,2,4,0,4,1,40,39,1
46,2,7,2,14,0,4,1,30,39,0
59,0,13,2,0,0,4,1,40,39,1
38,1,9,2,1,0,4,1,40,39,1
65,4,7,6,8,4,3,1,40,39,0
40,4,11,2,13,0,4,1,40,39,1
42,4,9,2,1,5,4,0,35,39,0
26,6,5,2,3,0,4,1,40,32,0
36,4,6,2,8,5,4,0,24,39,0
62,4,14,2,10,0,4,1,40,39,1
43,4,13,2,14,0,4,1,45,39,0
43,4,13,0,4,1,4,1,45,39,1
22,4,9,3,12,1,4,1,55,39,0
28,4,9,2,3,0,4,1,40,39,0
56,6,10,2,12,0,4,1,45,39,0
22,4,12,4,12,1,4,0,15,39,0
57,4,13,0,4,1,4,0,45,39,1
39,4,9,0,12,4,4,0,40,39,0
26,1,10,4,1,4,4,0,15,39,0
17,4,7,4,8,3,4,1,10,39,0
40,7,11,2,7,0,4,1,38,39,1
45,4,9,2,7,0,2,1,40,39,0
44,4,9,4,3,1,2,1,40,39,0
20,2,10,4,1,3,4,0,10,39,0
33,4,9,2,3,5,4,0,40,39,0
23,4,10,4,12,1,4,1,40,39,0
46,6,14,0,4,1,4,1,30,39,0
38,4,9,2,12,0,4,1,50,39,0
54,4,9,0,14,1,4,1,40,39,0
46,4,3,0,3,1,4,0,45,39,0
25,4,10,2,3,0,4,1,40,39,0
46,4,10,0,12,1,4,0,40,39,0
36,2,10,2,14,5,4,0,40,39,0
23,4,9,4,8,1,4,0,25,39,0
29,4,9,5,7,1,4,1,40,39,0
44,4,10,2,1,5,4,0,6,39,1
19,4,10,4,1,3,4,0,16,39,0
19,4,9,4,8,2,4,0,40,39,0
35,4,9,2,8,5,4,0,40,39,1
27,4,13,4,3,1,4,1,50,39,0
46,6,12,5,3,1,4,1,40,39,0
34,7,13,2,4,0,4,1,45,0,1
34,4,9,4,8,1,4,0,35,39,0
44,4,10,2,13,0,4,1,40,39,0
45,4,10,0,6,4,4,0,40,39,0
20,0,9,4,0,2,4,0,35,39,0
25,4,13,2,4,0,4,1,55,39,1
52,5,13,2,4,0,4,1,50,39,1
20,4,10,4,6,3,4,1,40,39,0
28,4,10,4,8,1,4,0,40,39,0
50,7,13,2,11,0,4,1,40,39,1
34,4,11,0,13,1,4,0,64,39,0
28,4,4,2,6,0,3,1,40,33,0
41,4,14,2,4,0,4,1,65,39,1
28,4,9,2,1,0,4,1,40,39,0
46,6,9,2,3,0,4,1,25,39,0
28,0,10,2,0,5,4,0,40,39,1
32,4,10,2,4,0,4,1,50,39,0
41,2,10,0,8,1,2,0,24,39,0
24,4,9,4,6,4,2,0,40,39,0
33,4,10,0,4,4,4,0,40,39,0
46,4,16,2,4,0,4,1,60,39,1
31,7,10,2,7,0,4,1,40,39,0
35,4,8,0,3,1,4,1,50,39,1
52,4,2,2,7,0,4,1,40,26,0
30,4,7,4,8,3,4,0,19,39,0
34,2,7,5,7,1,2,1,40,39,0
34,7,9,0,14,4,4,0,40,39,0
20,4,10,2,12,0,4,1,30,39,0
17,4,7,4,6,3,4,1,18,39,0
32,7,13,2,4,5,4,0,40,39,1
29,4,9,0,5,1,4,1,40,39,0
33,4,6,4,3,4,4,0,35,39,0
25,4,9,2,14,0,4,1,60,39,0
36,1,14,4,10,1,4,1,40,39,0
23,4,9,4,6,1,4,1,72,6,0
63,5,9,2,4,0,4,1,40,39,1
47,2,14,2,10,0,4,1,40,39,0
80,0,9,6,0,1,4,1,24,39,0
17,0,7,4,0,3,4,1,40,39,0
40,6,13,3,10,1,4,0,40,39,0
30,4,12,2,8,5,4,0,25,39,1
27,4,10,4,3,3,1,1,40,30,0
33,4,14,2,10,0,4,1,50,39,1
34,2,9,4,5,1,2,1,60,39,0
34,2,10,4,11,1,4,0,40,39,0
23,4,10,2,1,0,4,1,40,39,0
42,2,10,2,1,5,4,0,40,39,0
29,4,13,4,10,1,4,1,40,39,0
45,4,9,0,1,1,4,0,28,39,0
24,1,9,4,2,3,4,1,40,39,0
44,4,10,2,10,0,4,1,40,39,1
27,4,5,4,3,2,4,1,40,26,0
20,4,10,4,12,1,4,1,35,39,0
44,4,9,6,4,4,2,0,40,39,0
51,4,9,2,3,0,0,1,40,39,0
20,4,9,2,7,0,4,1,40,39,0
17,0,7,4,0,3,4,0,5,39,0
19,4,9,4,7,3,2,0,40,39,0
45,5,10,2,3,0,4,1,55,39,1
60,4,9,2,3,0,4,1,40,39,1
42,4,12,2,4,0,2,1,40,0,1
44,6,9,2,12,5,4,0,40,39,1
40,4,11,2,7,0,1,1,40,39,1
30,4,9,2,4,5,4,0,40,39,0
38,4,10,2,14,0,2,1,50,39,0
23,4,9,2,14,0,4,1,60,39,0
32,0,10,2,0,0,4,1,40,39,0
44,4,12,4,5,3,4,1,40,39,0
54,2,9,2,14,0,2,1,40,39,0
32,4,13,2,10,0,4,1,50,39,0
50,4,2,3,3,4,4,1,40,39,0
24,4,13,4,13,1,4,0,20,39,0
37,4,9,2,1,5,4,0,60,39,0
52,4,9,0,14,4,4,1,40,39,0
38,4,10,2,14,0,4,1,40,39,0
49,4,14,2,4,0,4,1,45,39,1
30,4,13,2,13,5,4,0,16,39,1
60,4,10,4,10,4,4,1,40,39,1
22,0,10,4,0,3,4,1,40,39,0
35,4,9,4,3,1,4,1,40,39,0
30,4,9,4,14,1,4,1,60,39,0
67,4,11,0,8,1,4,0,24,39,0
46,4,13,4,3,1,4,0,40,39,0
17,4,5,4,8,1,4,1,6,39,0
22,4,10,4,6,3,4,1,30,39,0
27,4,6,4,8,1,4,1,40,39,0
23,4,9,4,8,4,4,0,35,39,0
33,4,12,2,3,0,4,1,45,32,0
43,6,10,2,3,0,4,1,20,39,0
28,7,13,4,10,1,4,1,20,39,0
41,4,9,3,3,4,4,0,40,39,0
52,0,8,4,0,2,2,1,40,39,0
25,4,10,3,1,3,2,0,20,39,0
63,0,2,2,0,0,4,1,35,39,0
59,2,9,2,14,0,4,1,45,39,0
45,2,13,0,10,4,4,0,40,39,0
38,4,13,2,12,0,4,1,60,39,1
40,4,9,4,8,1,4,0,35,39,0
46,1,9,0,1,1,4,1,40,39,0
35,4,12,4,4,1,4,0,60,39,0
34,4,9,0,10,4,4,0,25,39,0
33,4,13,4,3,3,4,1,20,39,0
41,4,9,0,1,4,4,0,36,39,0
20,4,10,4,7,3,4,1,40,39,0
23,4,3,4,8,3,4,1,40,8,0
26,4,10,4,10,1,4,0,35,39,0
72,0,9,2,0,0,4,1,20,39,0
23,2,9,4,5,1,4,1,40,31,0
62,2,9,2,14,0,4,1,40,39,0
52,4,10,2,1,0,4,1,40,39,0
58,4,10,0,8,4,4,0,42,10,0
25,4,13,4,12,1,4,0,40,39,0
24,4,13,4,4,1,2,1,40,39,0
19,4,10,4,11,3,4,1,8,39,0
43,4,10,2,4,0,4,1,40,39,0
47,2,9,5,1,4,2,0,40,39,0
39,4,9,0,8,4,4,0,40,39,0
49,4,11,3,6,4,4,1,42,39,0
53,0,3,6,0,4,2,0,30,39,0
32,4,11,4,3,1,4,1,45,39,0
34,4,10,2,10,0,4,1,50,39,1
28,4,9,0,3,1,4,1,45,39,0
57,0,11,6,0,4,4,0,38,39,0
25,4,10,4,1,1,0,0,20,39,0
20,0,10,4,0,3,4,1,24,39,0
21,0,10,4,0,4,4,0,35,39,0
34,4,13,2,10,0,4,1,50,39,1
38,5,13,2,4,0,4,1,80,39,1
50,4,9,2,4,0,4,1,50,39,1
24,2,10,0,6,1,2,1,50,39,0
37,2,10,2,13,0,4,1,45,39,1
44,4,10,0,7,4,4,1,58,39,1
28,4,10,2,12,5,4,0,40,39,0
42,4,13,2,4,0,4,1,40,39,1
74,4,10,0,1,1,4,0,9,39,0
38,6,9,2,3,0,4,1,50,39,0
44,6,14,2,10,0,4,1,40,39,0
44,4,7,0,7,4,3,0,46,33,0
26,4,9,4,7,1,4,1,40,39,0
36,4,9,2,8,0,2,1,40,39,0
41,4,12,2,4,5,4,0,50,39,1
67,4,15,2,10,0,4,1,48,39,1
39,2,8,2,13,0,4,1,50,39,0
57,4,2,6,9,1,2,0,30,39,0
29,4,11,5,3,1,4,1,40,39,0
31,5,13,4,5,1,4,0,45,39,0
34,0,9,4,0,4,2,0,40,39,0
44,4,10,2,14,0,4,1,40,39,0
29,4,16,4,10,3,4,1,40,39,0
30,4,10,4,6,4,4,0,40,39,0
27,4,9,4,14,1,4,1,40,39,0
27,4,10,2,12,0,4,1,50,39,0
32,4,9,4,6,1,4,0,45,39,0
58,4,6,2,8,5,4,0,8,39,0
35,2,10,2,11,0,4,1,40,39,0
21,4,9,4,6,3,4,1,36,39,0
28,4,10,4,3,4,4,1,40,39,0
46,6,10,0,4,1,4,1,50,39,0
36,6,9,5,8,4,4,0,40,39,0
72,4,7,6,1,4,4,0,40,39,0
35,4,9,2,7,5,2,0,40,39,0
33,1,11,0,3,4,2,0,40,39,1
69,4,7,4,7,1,4,0,40,39,0
35,4,9,2,7,0,4,1,40,39,0
31,4,9,5,1,4,4,0,20,0,0
34,4,9,2,13,5,4,0,32,39,0
30,4,7,2,8,0,4,1,40,26,0
28,4,13,4,14,1,4,1,55,39,0
54,4,13,2,12,0,4,1,35,39,1
47,4,10,2,10,0,4,1,50,39,1
24,4,9,4,6,4,2,0,40,39,0
52,6,13,2,10,0,4,1,60,39,1
20,4,9,4,6,3,0,1,48,39,0
43,5,14,2,4,0,4,1,45,39,0
45,4,4,5,8,4,4,0,40,26,0
29,6,9,5,3,1,4,1,35,39,0
47,4,14,0,4,4,4,1,42,39,0
24,4,9,4,3,3,4,1,40,39,0
51,4,9,2,10,0,4,1,40,39,0
17,4,7,4,12,3,4,1,12,39,0
37,4,11,2,3,0,4,1,40,39,1
27,4,16,4,10,1,4,0,70,39,0
29,4,13,2,4,5,4,1,40,39,1
18,0,8,4,0,3,4,1,25,39,0
36,6,12,0,12,4,4,0,35,39,0
58,2,13,4,10,1,4,0,40,39,0
26,6,10,2,3,0,4,1,45,39,0
65,0,10,2,0,0,4,1,30,39,1
57,4,9,2,12,0,4,1,40,39,1
59,4,9,2,3,0,4,1,40,39,0
27,4,9,2,7,0,4,1,40,39,0
31,6,13,4,13,1,4,1,40,39,0
21,4,10,4,12,3,4,0,24,39,0
29,4,10,4,1,1,4,1,60,39,0
18,4,7,4,8,3,4,1,40,39,0
52,4,6,2,3,0,4,1,47,39,1
57,5,13,0,10,1,4,1,80,39,0
42,0,9,2,0,0,4,1,40,39,0
55,0,9,2,0,5,1,0,40,39,0
60,4,4,4,14,1,4,1,48,39,1
31,4,13,2,10,0,4,1,40,2,1
23,4,13,4,1,3,4,0,40,39,0
27,4,9,4,12,3,4,1,40,39,0
23,0,10,4,0,4,0,0,25,39,0
42,6,15,2,10,0,4,1,50,39,1
25,4,10,4,13,1,4,1,40,39,0
49,4,13,4,10,1,4,0,45,39,0
32,4,13,4,13,1,4,1,40,39,0
19,4,10,4,1,3,4,1,28,39,0
60,4,4,0,8,1,4,0,40,39,0
42,2,5,2,8,0,4,1,40,39,0
35,6,12,4,5,1,4,1,40,39,0
48,4,9,4,1,4,2,0,37,39,0
51,4,14,2,3,0,4,1,40,39,1
29,4,9,4,3,1,0,1,40,39,0
36,2,9,5,4,1,2,1,40,39,0
17,4,6,4,8,3,4,0,21,39,0
52,4,14,0,10,1,4,0,60,39,0
24,4,9,4,3,1,4,1,40,39,0
24,4,9,2,6,0,4,1,50,39,0
26,2,13,4,10,3,4,1,40,39,0
27,4,13,4,8,3,4,0,20,39,0
39,4,9,4,6,3,4,1,60,39,0
30,4,9,2,14,0,2,1,45,39,0
50,6,9,2,4,0,4,1,32,39,0
52,5,13,2,12,0,4,1,55,39,0
46,4,15,2,10,0,4,1,45,39,1
23,4,13,4,12,3,4,0,20,39,0
45,4,7,6,8,1,2,0,20,39,0
65,4,5,6,9,4,2,0,24,39,0
29,4,11,2,14,0,4,1,55,39,0
47,4,5,3,6,4,4,1,40,8,0
30,4,9,4,5,3,2,1,60,39,0
34,4,9,2,12,0,4,1,45,39,1
38,6,9,2,12,0,4,1,64,39,0
33,4,10,2,4,0,4,1,40,39,1
49,4,13,2,12,0,4,1,26,39,1
47,6,10,4,8,4,2,0,40,39,0
49,2,6,5,8,4,2,0,40,39,0
